transaction_id,sender,receiver,amount,timestamp
T00054,A070,A045,9030,2026-08-10 14:51:53.414451
T00055,A002,A012,9863,2026-08-10 14:51:56.414451
T00056,A035,A090,7605,2026-08-10 14:52:06.414451
T00057,A014,A041,4465,2026-08-10 14:52:11.414451
T00058,A027,A002,9101,2026-08-10 14:52:13.414451
T00059,A023,A019,8024,2026-08-10 14:52:21.414451
T00060,A072,A074,1400,2026-08-10 14:52:29.414451
T00061,A004,A074,3660,2026-08-10 14:52:35.414451
T00062,A043,A076,4463,2026-08-10 14:52:43.414451
T00063,A065,A045,916,2026-08-10 14:52:48.414451
T00064,A067,A060,5191,2026-08-10 14:52:50.414451
T00065,A095,A054,9423,2026-08-10 14:53:00.414451
T00066,A100,A036,3932,2026-08-10 14:53:04.414451
T00067,A005,A007,9415,2026-08-10 14:53:14.414451
T00068,A033,A077,6569,2026-08-10 14:53:23.414451
T00069,A088,A012,2243,2026-08-10 14:53:26.414451
T00070,A023,A063,7707,2026-08-10 14:53:33.414451
T00071,A049,A002,6229,2026-08-10 14:53:37.414451
T00072,A071,A064,3865,2026-08-10 14:53:45.414451
T00073,A047,A011,4787,2026-08-10 14:53:55.414451
T00074,A099,A086,3105,2026-08-10 14:53:59.414451
T00075,A050,A082,6294,2026-08-10 14:54:08.414451
T00076,A083,A008,6667,2026-08-10 14:54:09.414451
T00077,A078,A097,3100,2026-08-10 14:54:18.414451
T00078,A017,A093,3912,2026-08-10 14:54:23.414451
T00079,A004,A077,7528,2026-08-10 14:54:27.414451
T00080,A016,A023,6003,2026-08-10 14:54:34.414451
T00081,A035,A023,1286,2026-08-10 14:54:35.414451
T00082,A043,A076,6433,2026-08-10 14:54:42.414451
T00083,A034,A083,6715,2026-08-10 14:54:49.414451
T00084,A047,A020,7756,2026-08-10 14:54:54.414451
T00085,A048,A072,840,2026-08-10 14:54:56.414451
T00086,A024,A034,5078,2026-08-10 14:55:06.414451
T00087,A066,A099,6196,2026-08-10 14:55:13.414451
T00088,A015,A059,3249,2026-08-10 14:55:20.414451
T00089,A005,A082,3533,2026-08-10 14:55:29.414451
T00090,A075,A078,6566,2026-08-10 14:55:36.414451
T00091,A064,A088,6781,2026-08-10 14:55:38.414451
T00092,A073,A093,6406,2026-08-10 14:55:40.414451
T00093,A091,A070,2501,2026-08-10 14:55:44.414451
T00094,A042,A080,9617,2026-08-10 14:55:50.414451
T00095,A032,A089,2159,2026-08-10 14:55:55.414451
T00096,A071,A056,4923,2026-08-10 14:56:01.414451
T00097,A043,A084,6288,2026-08-10 14:56:05.414451
T00098,A016,A018,1487,2026-08-10 14:56:15.414451
T00099,A097,A002,1287,2026-08-10 14:56:20.414451
T00100,A072,A074,5640,2026-08-10 14:56:30.414451
T00101,A045,A075,3230,2026-08-10 14:56:39.414451
T00102,A098,A008,3875,2026-08-10 14:56:47.414451
T00103,A052,A086,8894,2026-08-10 14:56:52.414451
T00104,A004,A076,6430,2026-08-10 14:56:58.414451
T00105,A005,A081,9328,2026-08-10 14:57:06.414451
T00106,A052,A090,9523,2026-08-10 14:57:14.414451
T00107,A015,A058,8011,2026-08-10 14:57:20.414451
T00108,A006,A008,959,2026-08-10 14:57:30.414451
T00109,A025,A055,7490,2026-08-10 14:57:36.414451
T00110,A051,A074,7333,2026-08-10 14:57:37.414451
T00111,A069,A025,9044,2026-08-10 14:57:43.414451
T00112,A063,A050,8953,2026-08-10 14:57:50.414451
T00113,A077,A028,7759,2026-08-10 14:57:51.414451
T00114,A038,A022,8570,2026-08-10 14:57:59.414451
T00115,A046,A027,5946,2026-08-10 14:58:06.414451
T00116,A071,A078,5067,2026-08-10 14:58:13.414451
T00117,A078,A012,1686,2026-08-10 14:58:19.414451
T00118,A042,A015,3202,2026-08-10 14:58:20.414451
T00119,A095,A061,8398,2026-08-10 14:58:23.414451
T00120,A003,A085,6851,2026-08-10 14:58:26.414451
T00121,A044,A021,1699,2026-08-10 14:58:34.414451
T00122,A036,A092,3964,2026-08-10 14:58:35.414451
T00123,A066,A063,8168,2026-08-10 14:58:44.414451
T00124,A092,A032,6411,2026-08-10 14:58:46.414451
T00125,A032,A076,8913,2026-08-10 14:58:55.414451
T00126,A084,A053,2183,2026-08-10 14:59:03.414451
T00127,A100,A069,617,2026-08-10 14:59:10.414451
T00128,A041,A070,6572,2026-08-10 14:59:14.414451
T00129,A076,A058,8319,2026-08-10 14:59:15.414451
T00130,A027,A062,1459,2026-08-10 14:59:25.414451
T00131,A082,A068,2350,2026-08-10 14:59:26.414451
T00132,A064,A029,9614,2026-08-10 14:59:34.414451
T00133,A080,A011,7266,2026-08-10 14:59:41.414451
T00134,A090,A027,6937,2026-08-10 14:59:44.414451
T00135,A040,A051,7984,2026-08-10 14:59:53.414451
T00136,A078,A029,2334,2026-08-10 14:59:56.414451
T00137,A085,A067,5787,2026-08-10 14:59:57.414451
T00138,A093,A006,7712,2026-08-10 15:00:03.414451
T00139,A061,A069,2292,2026-08-10 15:00:09.414451
T00140,A019,A064,5853,2026-08-10 15:00:10.414451
T00141,A095,A094,2042,2026-08-10 15:00:13.414451
T00142,A056,A050,1067,2026-08-10 15:00:19.414451
T00143,A078,A053,9988,2026-08-10 15:00:25.414451
T00144,A046,A066,1621,2026-08-10 15:00:34.414451
T00145,A029,A051,8433,2026-08-10 15:00:44.414451
T00146,A072,A031,919,2026-08-10 15:00:52.414451
T00147,A060,A043,2579,2026-08-10 15:01:01.414451
T00148,A068,A037,2400,2026-08-10 15:01:04.414451
T00149,A035,A033,8746,2026-08-10 15:01:09.414451
T00150,A083,A094,4634,2026-08-10 15:01:19.414451
T00151,A033,A096,2683,2026-08-10 15:01:23.414451
T00152,A033,A084,7856,2026-08-10 15:01:31.414451
T00153,A041,A088,836,2026-08-10 15:01:39.414451
T00154,A066,A084,4055,2026-08-10 15:01:47.414451
T00155,A045,A003,8330,2026-08-10 15:01:52.414451
T00156,A077,A039,5996,2026-08-10 15:02:02.414451
T00157,A094,A089,7174,2026-08-10 15:02:06.414451
T00158,A049,A011,9252,2026-08-10 15:02:13.414451
T00159,A046,A100,9457,2026-08-10 15:02:21.414451
T00160,A024,A063,9949,2026-08-10 15:02:30.414451
T00161,A092,A035,6321,2026-08-10 15:02:32.414451
T00162,A033,A032,3505,2026-08-10 15:02:37.414451
T00163,A005,A015,5944,2026-08-10 15:02:45.414451
T00164,A032,A080,9221,2026-08-10 15:02:46.414451
T00165,A030,A028,1197,2026-08-10 15:02:52.414451
T00166,A092,A053,9420,2026-08-10 15:02:56.414451
T00167,A082,A084,2573,2026-08-10 15:03:01.414451
T00168,A016,A073,4983,2026-08-10 15:03:08.414451
T00169,A008,A025,9719,2026-08-10 15:03:17.414451
T00170,A068,A063,319,2026-08-10 15:03:22.414451
T00171,A066,A036,2213,2026-08-10 15:03:32.414451
T00172,A049,A037,3551,2026-08-10 15:03:33.414451
T00173,A019,A006,3094,2026-08-10 15:03:39.414451
T00174,A004,A058,5064,2026-08-10 15:03:49.414451
T00175,A047,A074,4397,2026-08-10 15:03:57.414451
T00176,A067,A094,3296,2026-08-10 15:04:00.414451
T00177,A072,A030,2047,2026-08-10 15:04:10.414451
T00178,A099,A083,8884,2026-08-10 15:04:11.414451
T00179,A063,A034,7477,2026-08-10 15:04:17.414451
T00180,A084,A008,4138,2026-08-10 15:04:26.414451
T00181,A018,A056,7498,2026-08-10 15:04:35.414451
T00182,A037,A068,4665,2026-08-10 15:04:42.414451
T00183,A039,A065,5301,2026-08-10 15:04:44.414451
T00184,A080,A049,4355,2026-08-10 15:04:53.414451
T00185,A070,A054,8918,2026-08-10 15:04:54.414451
T00186,A021,A014,8125,2026-08-10 15:05:03.414451
T00187,A065,A047,5298,2026-08-10 15:05:09.414451
T00188,A094,A027,771,2026-08-10 15:05:12.414451
T00189,A065,A043,7804,2026-08-10 15:05:21.414451
T00190,A071,A058,1918,2026-08-10 15:05:22.414451
T00191,A038,A030,7522,2026-08-10 15:05:31.414451
T00192,A025,A020,445,2026-08-10 15:05:35.414451
T00193,A094,A080,2620,2026-08-10 15:05:37.414451
T00194,A055,A007,8205,2026-08-10 15:05:43.414451
T00195,A063,A007,7088,2026-08-10 15:05:48.414451
T00196,A097,A023,446,2026-08-10 15:05:54.414451
T00197,A056,A091,2465,2026-08-10 15:05:55.414451
T00198,A022,A009,3257,2026-08-10 15:06:03.414451
T00199,A036,A005,8598,2026-08-10 15:06:06.414451
T00200,A083,A015,4023,2026-08-10 15:06:12.414451
T00201,A086,A008,9114,2026-08-10 15:06:19.414451
T00202,A055,A083,8890,2026-08-10 15:06:27.414451
T00203,A084,A085,8377,2026-08-10 15:06:33.414451
T00204,A068,A022,7405,2026-08-10 15:06:41.414451
T00205,A070,A053,4539,2026-08-10 15:06:50.414451
T00206,A096,A097,3515,2026-08-10 15:06:59.414451
T00207,A089,A085,6410,2026-08-10 15:07:04.414451
T00208,A058,A080,430,2026-08-10 15:07:10.414451
T00209,A082,A015,2218,2026-08-10 15:07:13.414451
T00210,A086,A041,5506,2026-08-10 15:07:19.414451
T00211,A091,A064,8224,2026-08-10 15:07:23.414451
T00212,A077,A002,4384,2026-08-10 15:07:30.414451
T00213,A011,A014,5764,2026-08-10 15:07:34.414451
T00214,A009,A030,1059,2026-08-10 15:07:35.414451
T00215,A059,A032,5372,2026-08-10 15:07:45.414451
T00216,A020,A063,1938,2026-08-10 15:07:52.414451
T00217,A043,A023,1442,2026-08-10 15:07:53.414451
T00218,A009,A065,5637,2026-08-10 15:08:01.414451
T00219,A036,A018,3087,2026-08-10 15:08:04.414451
T00220,A011,A028,9109,2026-08-10 15:08:14.414451
T00221,A082,A036,1894,2026-08-10 15:08:23.414451
T00222,A029,A024,5290,2026-08-10 15:08:27.414451
T00223,A022,A026,4878,2026-08-10 15:08:32.414451
T00224,A013,A035,7684,2026-08-10 15:08:40.414451
T00225,A079,A066,9333,2026-08-10 15:08:43.414451
T00226,A049,A080,5479,2026-08-10 15:08:52.414451
T00227,A056,A005,2700,2026-08-10 15:09:01.414451
T00228,A033,A032,3211,2026-08-10 15:09:08.414451
T00229,A094,A013,5248,2026-08-10 15:09:16.414451
T00230,A052,A073,4253,2026-08-10 15:09:25.414451
T00231,A007,A068,4444,2026-08-10 15:09:30.414451
T00232,A061,A021,1319,2026-08-10 15:09:36.414451
T00233,A063,A060,549,2026-08-10 15:09:42.414451
T00234,A041,A003,8258,2026-08-10 15:09:43.414451
T00235,A012,A001,7424,2026-08-10 15:09:44.414451
T00236,A004,A065,6851,2026-08-10 15:09:53.414451
T00237,A048,A038,6900,2026-08-10 15:10:01.414451
T00238,A094,A024,5170,2026-08-10 15:10:08.414451
T00239,A087,A004,817,2026-08-10 15:10:09.414451
T00240,A006,A020,3377,2026-08-10 15:10:13.414451
T00241,A040,A010,395,2026-08-10 15:10:20.414451
T00242,A062,A016,5168,2026-08-10 15:10:30.414451
T00243,A024,A040,6696,2026-08-10 15:10:40.414451
T00244,A015,A059,3803,2026-08-10 15:10:42.414451
T00245,A064,A049,172,2026-08-10 15:10:49.414451
T00246,A048,A058,3824,2026-08-10 15:10:57.414451
T00247,A037,A027,6317,2026-08-10 15:11:06.414451
T00248,A078,A031,3541,2026-08-10 15:11:08.414451
T00249,A011,A072,759,2026-08-10 15:11:12.414451
T00250,A063,A057,7519,2026-08-10 15:11:15.414451
T00251,A038,A051,242,2026-08-10 15:11:16.414451
T00252,A003,A035,2642,2026-08-10 15:11:24.414451
T00253,A012,A056,6740,2026-08-10 15:11:27.414451
T00254,A045,A013,5226,2026-08-10 15:11:32.414451
T00255,A046,A048,3109,2026-08-10 15:11:36.414451
T00256,A081,A027,6633,2026-08-10 15:11:45.414451
T00257,A023,A015,588,2026-08-10 15:11:53.414451
T00258,A039,A042,1564,2026-08-10 15:11:54.414451
T00259,A056,A047,2400,2026-08-10 15:11:57.414451
T00260,A038,A023,3541,2026-08-10 15:12:03.414451
T00261,A076,A046,8478,2026-08-10 15:12:09.414451
T00262,A075,A065,4181,2026-08-10 15:12:17.414451
T00263,A088,A054,9713,2026-08-10 15:12:25.414451
T00264,A043,A040,3116,2026-08-10 15:12:26.414451
T00265,A032,A007,7520,2026-08-10 15:12:32.414451
T00266,A073,A003,8327,2026-08-10 15:12:37.414451
T00267,A088,A038,7068,2026-08-10 15:12:46.414451
T00268,A015,A062,3776,2026-08-10 15:12:48.414451
T00269,A062,A011,7114,2026-08-10 15:12:57.414451
T00270,A049,A084,2695,2026-08-10 15:13:07.414451
T00271,A078,A063,2271,2026-08-10 15:13:16.414451
T00272,A014,A028,3493,2026-08-10 15:13:18.414451
T00273,A005,A038,4411,2026-08-10 15:13:19.414451
T00274,A053,A002,2740,2026-08-10 15:13:22.414451
T00275,A016,A029,9534,2026-08-10 15:13:30.414451
T00276,A029,A011,2354,2026-08-10 15:13:32.414451
T00277,A072,A077,6434,2026-08-10 15:13:34.414451
T00278,A031,A081,2651,2026-08-10 15:13:44.414451
T00279,A025,A043,1544,2026-08-10 15:13:47.414451
T00280,A011,A061,5063,2026-08-10 15:13:50.414451
T00281,A013,A082,8016,2026-08-10 15:13:55.414451
T00282,A039,A017,3620,2026-08-10 15:14:01.414451
T00283,A074,A091,1959,2026-08-10 15:14:11.414451
T00284,A024,A064,9396,2026-08-10 15:14:16.414451
T00285,A041,A033,7156,2026-08-10 15:14:24.414451
T00286,A011,A070,2683,2026-08-10 15:14:25.414451
T00287,A079,A057,7026,2026-08-10 15:14:29.414451
T00288,A090,A012,8717,2026-08-10 15:14:32.414451
T00289,A035,A100,9103,2026-08-10 15:14:35.414451
T00290,A085,A059,2796,2026-08-10 15:14:45.414451
T00291,A052,A042,1815,2026-08-10 15:14:54.414451
T00292,A079,A008,7284,2026-08-10 15:15:04.414451
T00293,A098,A072,8769,2026-08-10 15:15:11.414451
T00294,A001,A016,2120,2026-08-10 15:15:19.414451
T00295,A073,A079,2096,2026-08-10 15:15:20.414451
T00296,A079,A043,9428,2026-08-10 15:15:29.414451
T00297,A085,A079,3942,2026-08-10 15:15:30.414451
T00298,A021,A023,4391,2026-08-10 15:15:40.414451
T00299,A045,A024,6564,2026-08-10 15:15:45.414451
T00300,A036,A054,383,2026-08-10 15:15:50.414451
T00301,A018,A090,9462,2026-08-10 15:15:54.414451
T00302,A001,A023,7955,2026-08-10 15:16:00.414451
T00303,A069,A021,7720,2026-08-10 15:16:08.414451
T00304,A072,A045,8613,2026-08-10 15:16:10.414451
T00305,A071,A076,5905,2026-08-10 15:16:16.414451
T00306,A066,A012,1255,2026-08-10 15:16:23.414451
T00307,A095,A014,1237,2026-08-10 15:16:26.414451
T00308,A069,A038,856,2026-08-10 15:16:35.414451
T00309,A015,A078,6541,2026-08-10 15:16:44.414451
T00310,A095,A024,5216,2026-08-10 15:16:48.414451
T00311,A025,A082,726,2026-08-10 15:16:49.414451
T00312,A015,A096,9143,2026-08-10 15:16:50.414451
T00313,A092,A095,9321,2026-08-10 15:16:53.414451
T00314,A091,A057,188,2026-08-10 15:17:00.414451
T00315,A089,A086,965,2026-08-10 15:17:05.414451
T00316,A075,A041,9010,2026-08-10 15:17:15.414451
T00317,A035,A051,8966,2026-08-10 15:17:23.414451
T00318,A011,A047,4266,2026-08-10 15:17:30.414451
T00319,A091,A058,5523,2026-08-10 15:17:40.414451
T00320,A097,A087,4966,2026-08-10 15:17:41.414451
T00321,A084,A009,8446,2026-08-10 15:17:44.414451
T00322,A087,A066,9120,2026-08-10 15:17:50.414451
T00323,A039,A034,4318,2026-08-10 15:17:53.414451
T00324,A023,A058,9062,2026-08-10 15:18:01.414451
T00325,A007,A012,4736,2026-08-10 15:18:09.414451
T00326,A051,A016,8469,2026-08-10 15:18:13.414451
T00327,A023,A011,7995,2026-08-10 15:18:14.414451
T00328,A066,A032,7779,2026-08-10 15:18:22.414451
T00329,A031,A010,9995,2026-08-10 15:18:26.414451
T00330,A081,A096,206,2026-08-10 15:18:27.414451
T00331,A098,A059,3299,2026-08-10 15:18:28.414451
T00332,A082,A070,6727,2026-08-10 15:18:36.414451
T00333,A074,A058,8165,2026-08-10 15:18:44.414451
T00334,A001,A070,5040,2026-08-10 15:18:50.414451
T00335,A023,A031,5258,2026-08-10 15:18:54.414451
T00336,A093,A032,2922,2026-08-10 15:19:01.414451
T00337,A010,A066,9925,2026-08-10 15:19:07.414451
T00338,A055,A099,8103,2026-08-10 15:19:12.414451
T00339,A040,A072,9581,2026-08-10 15:19:15.414451
T00340,A098,A092,7747,2026-08-10 15:19:19.414451
T00341,A026,A012,2069,2026-08-10 15:19:24.414451
T00342,A050,A079,5798,2026-08-10 15:19:31.414451
T00343,A035,A046,6027,2026-08-10 15:19:32.414451
T00344,A044,A002,9995,2026-08-10 15:19:41.414451
T00345,A069,A080,4548,2026-08-10 15:19:46.414451
T00346,A007,A043,6665,2026-08-10 15:19:48.414451
T00347,A076,A063,4877,2026-08-10 15:19:52.414451
T00348,A094,A046,4657,2026-08-10 15:19:54.414451
T00349,A001,A015,522,2026-08-10 15:20:04.414451
T00350,A086,A073,1549,2026-08-10 15:20:14.414451
T00351,A056,A014,2264,2026-08-10 15:20:15.414451
T00352,A013,A083,638,2026-08-10 15:20:16.414451
T00353,A080,A058,9955,2026-08-10 15:20:19.414451
T00354,A022,A028,5900,2026-08-10 15:20:29.414451
T00355,A017,A052,1037,2026-08-10 15:20:32.414451
T00356,A055,A009,2146,2026-08-10 15:20:40.414451
T00357,A055,A038,8744,2026-08-10 15:20:43.414451
T00358,A056,A047,8195,2026-08-10 15:20:50.414451
T00359,A017,A064,4167,2026-08-10 15:20:54.414451
T00360,A063,A031,2825,2026-08-10 15:20:59.414451
T00361,A008,A083,759,2026-08-10 15:21:09.414451
T00362,A083,A023,2687,2026-08-10 15:21:11.414451
T00363,A038,A035,8157,2026-08-10 15:21:13.414451
T00364,A029,A041,4271,2026-08-10 15:21:15.414451
T00365,A068,A052,9715,2026-08-10 15:21:19.414451
T00366,A049,A058,4516,2026-08-10 15:21:21.414451
T00367,A100,A079,3528,2026-08-10 15:21:23.414451
T00368,A082,A039,2894,2026-08-10 15:21:25.414451
T00369,A071,A004,3970,2026-08-10 15:21:26.414451
T00370,A092,A005,3265,2026-08-10 15:21:36.414451
T00371,A027,A069,8825,2026-08-10 15:21:40.414451
T00372,A014,A082,3761,2026-08-10 15:21:48.414451
T00373,A033,A051,2110,2026-08-10 15:21:52.414451
T00374,A065,A051,6818,2026-08-10 15:21:56.414451
T00375,A062,A092,5235,2026-08-10 15:22:00.414451
T00376,A043,A047,4357,2026-08-10 15:22:03.414451
T00377,A028,A056,595,2026-08-10 15:22:04.414451
T00378,A058,A054,8985,2026-08-10 15:22:10.414451
T00379,A043,A058,1022,2026-08-10 15:22:12.414451
T00380,A054,A055,5096,2026-08-10 15:22:17.414451
T00381,A051,A043,2059,2026-08-10 15:22:18.414451
T00382,A044,A042,8779,2026-08-10 15:22:28.414451
T00383,A010,A042,7518,2026-08-10 15:22:29.414451
T00384,A008,A001,2537,2026-08-10 15:22:34.414451
T00385,A051,A078,4480,2026-08-10 15:22:42.414451
T00386,A088,A079,2851,2026-08-10 15:22:49.414451
T00387,A089,A094,8253,2026-08-10 15:22:53.414451
T00388,A028,A080,6147,2026-08-10 15:22:59.414451
T00389,A080,A046,1717,2026-08-10 15:23:06.414451
T00390,A079,A042,2755,2026-08-10 15:23:15.414451
T00391,A034,A012,5380,2026-08-10 15:23:22.414451
T00392,A018,A036,1131,2026-08-10 15:23:23.414451
T00393,A009,A032,3330,2026-08-10 15:23:26.414451
T00394,A028,A021,4708,2026-08-10 15:23:35.414451
T00395,A046,A021,6499,2026-08-10 15:23:37.414451
T00396,A038,A057,8222,2026-08-10 15:23:44.414451
T00397,A057,A078,2904,2026-08-10 15:23:52.414451
T00398,A080,A015,1034,2026-08-10 15:23:55.414451
T00399,A073,A077,1207,2026-08-10 15:24:03.414451
T00400,A089,A042,4826,2026-08-10 15:24:05.414451
T00401,A013,A079,8166,2026-08-10 15:24:15.414451
T00402,A053,A087,3399,2026-08-10 15:24:20.414451
T00403,A079,A041,7200,2026-08-10 15:24:22.414451
T00404,A005,A077,6023,2026-08-10 15:24:28.414451
T00405,A077,A019,3811,2026-08-10 15:24:31.414451
T00406,A009,A064,732,2026-08-10 15:24:38.414451
T00407,A002,A008,655,2026-08-10 15:24:44.414451
T00408,A041,A058,3288,2026-08-10 15:24:52.414451
T00409,A088,A059,4908,2026-08-10 15:24:56.414451
T00410,A069,A100,8161,2026-08-10 15:24:57.414451
T00411,A056,A069,3261,2026-08-10 15:24:58.414451
T00412,A087,A052,7345,2026-08-10 15:25:05.414451
T00413,A066,A020,4912,2026-08-10 15:25:15.414451
T00414,A025,A058,6643,2026-08-10 15:25:21.414451
T00415,A047,A063,1045,2026-08-10 15:25:31.414451
T00416,A002,A088,3703,2026-08-10 15:25:36.414451
T00417,A095,A010,5968,2026-08-10 15:25:43.414451
T00418,A007,A044,7947,2026-08-10 15:25:51.414451
T00419,A017,A057,9615,2026-08-10 15:25:57.414451
T00420,A035,A015,1108,2026-08-10 15:26:01.414451
T00421,A027,A035,5815,2026-08-10 15:26:07.414451
T00422,A089,A063,8505,2026-08-10 15:26:12.414451
T00423,A089,A023,6636,2026-08-10 15:26:17.414451
T00424,A063,A030,3800,2026-08-10 15:26:21.414451
T00425,A079,A043,6355,2026-08-10 15:26:30.414451
T00426,A024,A050,2460,2026-08-10 15:26:31.414451
T00427,A058,A014,2888,2026-08-10 15:26:32.414451
T00428,A068,A020,6429,2026-08-10 15:26:39.414451
T00429,A017,A087,5798,2026-08-10 15:26:43.414451
T00430,A080,A023,2919,2026-08-10 15:26:53.414451
T00431,A021,A044,6114,2026-08-10 15:27:03.414451
T00432,A020,A071,3424,2026-08-10 15:27:10.414451
T00433,A046,A043,2784,2026-08-10 15:27:15.414451
T00434,A050,A075,7796,2026-08-10 15:27:24.414451
T00435,A080,A095,492,2026-08-10 15:27:32.414451
T00436,A012,A010,3828,2026-08-10 15:27:42.414451
T00437,A037,A024,1295,2026-08-10 15:27:46.414451
T00438,A017,A075,8256,2026-08-10 15:27:47.414451
T00439,A025,A055,6395,2026-08-10 15:27:54.414451
T00440,A049,A025,7734,2026-08-10 15:28:02.414451
T00441,A074,A017,2666,2026-08-10 15:28:03.414451
T00442,A034,A053,7555,2026-08-10 15:28:11.414451
T00443,A063,A030,7235,2026-08-10 15:28:15.414451
T00444,A057,A035,6078,2026-08-10 15:28:21.414451
T00445,A070,A002,9024,2026-08-10 15:28:26.414451
T00446,A095,A015,8211,2026-08-10 15:28:33.414451
T00447,A035,A068,7311,2026-08-10 15:28:34.414451
T00448,A017,A048,7484,2026-08-10 15:28:44.414451
T00449,A051,A049,4575,2026-08-10 15:28:52.414451
T00450,A100,A014,259,2026-08-10 15:29:01.414451
T00451,A079,A043,6785,2026-08-10 15:29:05.414451
T00452,A021,A097,4008,2026-08-10 15:29:14.414451
T00453,A060,A028,2970,2026-08-10 15:29:15.414451
T00454,A045,A040,8082,2026-08-10 15:29:19.414451
T00455,A004,A085,4665,2026-08-10 15:29:28.414451
T00456,A063,A056,7924,2026-08-10 15:29:30.414451
T00457,A011,A086,5827,2026-08-10 15:29:38.414451
T00458,A093,A052,7639,2026-08-10 15:29:43.414451
T00459,A037,A010,9058,2026-08-10 15:29:49.414451
T00460,A005,A056,5947,2026-08-10 15:29:56.414451
T00461,A074,A024,9100,2026-08-10 15:30:02.414451
T00462,A064,A034,4908,2026-08-10 15:30:10.414451
T00463,A043,A030,7105,2026-08-10 15:30:19.414451
T00464,A096,A021,9404,2026-08-10 15:30:20.414451
T00465,A036,A076,6523,2026-08-10 15:30:24.414451
T00466,A011,A071,6624,2026-08-10 15:30:33.414451
T00467,A092,A026,1577,2026-08-10 15:30:41.414451
T00468,A013,A025,7726,2026-08-10 15:30:48.414451
T00469,A094,A028,3211,2026-08-10 15:30:52.414451
T00470,A033,A084,9550,2026-08-10 15:30:54.414451
T00471,A062,A051,8153,2026-08-10 15:31:00.414451
T00472,A013,A087,6174,2026-08-10 15:31:04.414451
T00473,A077,A075,5542,2026-08-10 15:31:07.414451
T00474,A066,A065,1405,2026-08-10 15:31:08.414451
T00475,A079,A038,1058,2026-08-10 15:31:14.414451
T00476,A087,A070,2679,2026-08-10 15:31:16.414451
T00477,A057,A073,2442,2026-08-10 15:31:20.414451
T00478,A060,A085,634,2026-08-10 15:31:24.414451
T00479,A019,A044,8048,2026-08-10 15:31:27.414451
T00480,A097,A074,1221,2026-08-10 15:31:29.414451
T00481,A072,A013,3403,2026-08-10 15:31:33.414451
T00482,A041,A043,5844,2026-08-10 15:31:40.414451
